COVID-19 Update: The COVID-19 Pfizer Vaccine,What is the safety and efficacy of BNT162b2 vaccine (The COVID-19 Pfizer Vaccine) against confirmed COVID-19 infection?,rebelem.com,2020-12-15T15:54:49.000000Z,https://rebelem.com/covid-19-update-the-covid-19-pfizer-vaccine/,['health'],covid
Some Covid Links,"Tweetâ€œIf someone who has tested positive for COVID-19 commits suicide, the Ontario Ministry of Health will record their cause of death as COVID-19.â€ And mor...",cafehayek.com,2020-12-14T11:26:45.000000Z,https://cafehayek.com/2020/12/some-covid-links-8.html,"['business', 'politics']",covid
Statement â€“ Update on COVID-19: WHO/Europe calls for action on post-COVID conditions/â€œlong COVIDâ€,"25 February 2021, Dr Hans Henri P. Kluge, WHO Regional Director for Europe",euro.who.int,2021-02-25T12:36:49.000000Z,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-whoeurope-calls-for-action-on-post-covid-conditionslong-covid,"['health', 'general']",covid
Brazilian Covid variant: Is the Brazilian Covid variant more deadly?,BRAZIL has joined the UK and South Africa in discovering a never-before-seen Covid variant. Is the Brazilian Covid variant more deadly?,express.co.uk,2021-01-15T17:22:01.000000Z,https://www.express.co.uk/life-style/health/1384672/Brazilian-Covid-variant-more-deadly-infection-evg,['health'],covid
Covid cafes,"Iâ€™m puzzled that during the pandemic so few cafes near me have moved to serving
customers outside, by moving their ordering and payment apparatus to the
doorw...",lesswrong.com,2021-02-03T08:20:14.000000Z,https://www.lesswrong.com/posts/63zMw9Hx4HFfBvsKE/covid-cafes,['science'],covid
Covid tongue: What is Covid tongue?,COVID TONGUE could be made an official coronavirus symptom after calls to the NHS to add it to the list. But what is Covid tongue?,express.co.uk,2021-01-23T11:06:42.000000Z,https://www.express.co.uk/life-style/health/1387995/covid-tongue-symptoms-what-is-covid-tongue-bump-mouth-ulcers-EVG,['health'],covid
"Trump Predicted â€˜Covid, Covid, Covidâ€™ Would End After The Election. It's Worse Than Ever",,forbes.com,2020-11-11T20:20:03.000000Z,https://www.forbes.com/sites/tommybeer/2020/11/11/trump-predicted-covid-covid-covid-would-end-after-the-election-its-worse-than-ever/,"['business', 'general']",covid
Covid Covid Covid Covid Covid 10/29: All We Ever Talk About,"Trump wishes to register a complaint.

He does so within a thread full of clips that have to be seen to be believed but
which you are under zero obligation to s...",lesswrong.com,2020-10-29T15:10:03.000000Z,https://www.lesswrong.com/posts/2HyqjNnpGsdLMEJuo/covid-covid-covid-covid-covid-10-29-all-we-ever-talk-about,['science'],covid
Covid Projects: Covid Pictures,,lenscratch.com,2021-02-15T11:00:51.000000Z,http://lenscratch.com/2021/02/focus-on-covid-covid-pictures/,['entertainment'],covid
Weismarkets Com COVID Vaccine (Jan) Offers Covid Vaccine!,Weismarkets Com COVID Vaccine (Jan) Offers Covid Vaccine! >> Do you want to book an appointment to get the covid-19 vaccine? Then please refer to the article be...,dodbuzz.com,2021-01-27T08:47:49.000000Z,https://www.dodbuzz.com/weismarkets-com-covid-vaccine/,['general'],covid
